federal_state,administrative_district,district,verb,municipality,city,postal_code,area_m2,total_population,male_population,female_population,population_density_km2,municipality_type,rental_level,average_price_m2,price_index_housing_costs,longitude,latitude,Population_Difference,male_to_female_ratio
9,5,63,0,0,Fürth,90762,63.35,131433,64348,67085,2075,1.0,3.0,4005.0,110.5,10.989974,49.477384,-2737,0.9592010136394127
8,4,21,0,0,Ulm,89073,118.68,128928,63803,65125,1086,1.0,5.0,3735.371960079152,109.5,9.990402,48.398454,-1322,0.979700575815739
8,1,21,0,0,Heilbronn,74072,99.89,128334,64610,63724,1285,1.0,2.0,3784.5,109.5,9.217953,49.140428,886,1.0139037097482895
8,2,31,0,0,Pforzheim,75175,97.99,127849,62926,64923,1305,1.0,2.0,3841.3946879301366,109.5,8.699166,48.891285,-1997,0.9692404848820911
9,6,63,0,0,Würzburg,97070,87.6,127810,61008,66802,1459,1.0,2.0,3899.278072733723,110.5,9.93725,49.79393,-5794,0.9132660698781474
3,1,3,0,0,Wolfsburg,38440,204.62,125961,62441,63520,616,1.0,1.0,2807.0,110.0,10.784975,52.421938,-1079,0.9830132241813602
3,1,59,16,16,Göttingen,37083,117.02,118946,57751,61195,1016,1.0,4.0,3382.321228431276,110.0,9.935418,51.533337,-3444,0.9437208922297573
5,5,12,0,0,Bottrop,46236,100.61,118113,57364,60749,1174,1.0,5.0,2430.5,110.4,6.929939,51.523694,-3385,0.9442789181714926
8,4,15,61,61,Reutlingen,72764,87.04,117547,58044,59503,1350,1.0,6.0,3867.3643841288213,109.5,9.212006,48.49208,-1459,0.9754802278876695
9,5,62,0,0,Erlangen,91052,76.96,116562,57940,58622,1515,1.0,4.0,4638.0,110.5,11.003274,49.59508,-682,0.9883661424038757
4,0,12,0,0,Bremerhaven,27576,101.41,115468,57391,58077,1139,1.0,2.0,1349.9865347426967,113.0,8.578068,53.543032,-686,0.9881880951151059
7,1,11,0,0,Koblenz,56068,105.25,115268,56506,58762,1095,1.0,2.0,3247.1597033712096,109.8,7.597956,50.359516,-2256,0.9616078418025255
5,3,78,4,4,Bergisch Gladbach,51465,83.09,112712,53947,58765,1357,1.0,4.0,3618.0,110.4,7.130608,50.992244,-4818,0.9180124223602485
